Scopus refine results values

"Your query : (TITLE-ABS-KEY(""tremor suppression"" OR ""suppression of tremor"" OR ""tremor compensation"" OR ""compensation of tremor"") AND ( LIMIT-TO ( DOCTYPE,""re"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 25

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","16","2026","1","Chandra, V.","2","Medicine","18","Review","25","final","25","Frontiers in Human Neuroscience","2","Human","22","Christian-Albrechts-Universität zu Kiel","4","Deutsche Forschungsgemeinschaft","3","United States","9","Journal","25","English","25"
"Gold","10","2025","2","Deuschl, G.","2","Neuroscience","10",,,,,"Journal of the Neurological Sciences","2","Review","21","University of Florida","3","Michael J. Fox Foundation for Parkinson's Research","3","China","5",,,"German","1"
"Hybrid Gold","2","2024","3","Hess, C.W.","2","Engineering","6",,,,,"Bio Design and Manufacturing","1","Tremor","20","Radboud University Medical Center","2","National Institutes of Health","2","Germany","5",,,,
"Bronze","2","2023","3","Hilliard, J.D.","2","Biochemistry, Genetics and Molecular Biology","5",,,,,"Biosensors","1","Brain Depth Stimulation","14","Radboud Universiteit","2","National Natural Science Foundation of China","2","Netherlands","3",,,,
"Green","12","2022","7","Okun, M.S.","2","Chemical Engineering","3",,,,,"Clinical Neurophysiology","1","Essential Tremor","14","King Chulalongkorn Memorial Hospital","2","University of Florida","2","India","2",,,,
,,"2021","4","Wong, J.K.","2","Materials Science","3",,,,,"Current Opinion in Biomedical Engineering","1","Humans","13","Capital Medical University","2","Abbott Laboratories","1","Iran","2",,,,
,,"2014","2","Al-Askery, A.","1","Pharmacology, Toxicology and Pharmaceutics","2",,,,,"Current Opinion in Neurology","1","Parkinson Disease","10","Chulalongkorn University","2","Australian Research Council","1","Thailand","2",,,,
,,"2009","1","Bashirian, S.","1","Psychology","2",,,,,"Deutsches Arzteblatt International","1","Deep Brain Stimulation","7","Thai Red Cross Agency","2","Bachmann-Strauss Dystonia and Parkinson Foundation","1","Australia","1",,,,
,,"2002","1","Becktepe, J.S.","1","Agricultural and Biological Sciences","1",,,,,"Frontiers in Aging Neuroscience","1","Tremor Suppression","7","Beijing Neurosurgical Institute","2","Boehringer Ingelheim","1","Austria","1",,,,
,,"1996","1","Benito-León, J.","1","Chemistry","1",,,,,"Frontiers in Neurology","1","Subthalamic Nucleus","6","American Institute of Medical and Biological Engineering","1","Chulalongkorn University","1","Ecuador","1",,,,
,,,,"Bergsma, A.","1","Computer Science","1",,,,,"IEEE Engineering in Medicine and Biology Magazine","1","Systematic Review","6","Academy of Science","1","Deakin University","1","Iraq","1",,,,
,,,,"Bhidayasiri, R.","1","Earth and Planetary Sciences","1",,,,,"International Journal of Medical Robotics and Computer Assisted Surgery","1","Electrostimulation","5","Norman Fixel Institute for Neurological Diseases","1","Deutsches Zentrum für Luft- und Raumfahrt","1","Japan","1",,,,
,,,,"Bodaghi, M.","1","Health Professions","1",,,,,"Journal of Neuroengineering and Rehabilitation","1","Multiple Sclerosis","5","Beauty Life Corporation","1","European Commission","1","Spain","1",,,,
,,,,"Bosch, D.A.","1","Physics and Astronomy","1",,,,,"Journal of Neurology Neurosurgery and Psychiatry","1","Parkinson's Disease","5","Humboldt-Universität zu Berlin","1","Frances C. and William P. Smallwood Foundation","1","United Kingdom","1",,,,
,,,,"Bötzel, K.","1","Social Sciences","1",,,,,"Journal of Techniques","1","Pathophysiology","5","Johns Hopkins University School of Medicine","1","Hamadan University of Medical Sciences","1","Viet Nam","1",,,,
,,,,"Cai, G.","1",,,,,,,"Life","1","Thalamus Ventral Nucleus","5","Amsterdam UMC - University of Amsterdam","1","International Essential Tremor Foundation","1",,,,,,
,,,,"Carbunaru, S.","1",,,,,,,"Movement Disorders","1","Muscle Contraction","4","Institute for Studies in Theoretical Physics and Mathematics, Tehran","1","Japan Society for the Promotion of Science","1",,,,,,
,,,,"Chen, L.","1",,,,,,,"Neuromodulation","1","Neuromodulation","4","Universiteit van Amsterdam","1","Medical Science and Technology Project of Zhejiang Province","1",,,,,,
,,,,"Chen, Y.","1",,,,,,,"Neurosurgical Review","1","Parkinson’s Disease","4","Faculty of Medicine, Chulalongkorn University","1","Medtronic","1",,,,,,
,,,,"Cosgrove, G.R.","1",,,,,,,"Neurotherapeutics","1","Thalamus","4","Harvard Medical School","1","Ministerio de Ciencia e Innovación","1",,,,,,
,,,,"De Witte, L.P.","1",,,,,,,"Proceedings of the Institution of Mechanical Engineers Part H Journal of Engineering in Medicine","1","Unified Parkinson Disease Rating Scale","4","Hospital Universitario 12 de Octubre","1","National Institute of Biomedical Imaging and Bioengineering","1",,,,,,
,,,,"Delgado-Oleas, G.","1",,,,,,,"Prosthetics and Orthotics International","1","Adverse Event","3","NC State University","1","National Key Research and Development Program of China","1",,,,,,
,,,,"Deuschl, G.","1",,,,,,,"Therapeutics and Clinical Risk Management","1","Algorithm","3","Fujian Medical University","1","National Science and Technology Development Agency","1",,,,,,
,,,,"Dirkx, M.","1",,,,,,,,,"Devices","3","Johns Hopkins University","1","Natural Science Foundation of Tianjin City","1",,,,,,
,,,,"Eisinger, R.S.","1",,,,,,,,,"Diagnosis","3","Universitätsklinikum Schleswig-Holstein Campus Kiel","1","Nederlandse Organisatie voor Wetenschappelijk Onderzoek","1",,,,,,
,,,,"Elble, R.J.","1",,,,,,,,,"Drug Therapy","3","Mayo Clinic","1","Newton Fund","1",,,,,,
,,,,"Esselink, R.A.J.","1",,,,,,,,,"Equipment Design","3","University of Houston","1","Parkinson Alliance","1",,,,,,
,,,,"Fahim, F.","1",,,,,,,,,"Globus Pallidus","3","Nottingham Trent University","1","Robert Bosch Stiftung","1",,,,,,
,,,,"Farajzadeh, M.A.","1",,,,,,,,,"Motor Dysfunction","3","Medizinische Universität Graz","1","Secretaría de Educación Superior, Ciencia, Tecnología e Innovación","1",,,,,,
,,,,"Farashi, S.","1",,,,,,,,,"Movement Disorders","3","Hamadan University of Medical Sciences","1","Society for Academic Continuing Medical Education","1",,,,,,
,,,,"Foote, K.D.","1",,,,,,,,,"Nonhuman","3","Consejo Superior de Investigaciones Científicas","1","Terumo Foundation for Life Sciences and Arts","1",,,,,,
,,,,"Fujikawa, J.","1",,,,,,,,,"Oscillation","3","Northwestern University","1","Thailand Research Fund","1",,,,,,
,,,,"Gasser, T.","1",,,,,,,,,"Outcome Assessment","3","University of Florida College of Medicine","1","Thailand Science Research and Innovation","1",,,,,,
,,,,"Gelderblom, G.J.","1",,,,,,,,,"Parkinsonian Tremor","3","Shahid Sadoughi University of Medical Sciences","1","Tianjin Medical University","1",,,,,,
,,,,"Han, R.","1",,,,,,,,,"Procedures","3","University of Iowa Carver College of Medicine","1","Tianjin University","1",,,,,,
,,,,"Hasheminejad, A.","1",,,,,,,,,"Therapy","3","Tokushima University","1","University of Florida Foundation","1",,,,,,
,,,,"Hassan, A.","1",,,,,,,,,"Transcutaneous Electrical Nerve Stimulation","3","Tianjin Medical University","1",,,,,,,,
